Age	Sex	Hand	Stage1	Stage2	Stage3
21	Male	R	18	29	24
21	Male	R	17	21	16
19	Male	R	16	8	12
21	Female	R	17	28	22
19	Male	R	16	27	19
20	Female	R	18	27	19
24	Female	R	18	30	23
20	Male	R	17	26	21
20	Female	R	13	17	9
21	Male	R	18	23	19
22	Female	R	17	22	18
19	Male	R	17	16	16
18	Female	R	17	22	16
19	Female	R	18	14	11
19	Male	R	18	28	23
22	Male	R	18	25	19
20	Female	R	18	27	21
24	Male	R	12	14	12
23	Male	R	18	26	16
18	Male	R	15	17	11
21	Female	R	16	22	18
21	Male	R	18	25	20
18	Female	R	17	11	16
18	Female	R	18	26	17
19	Female	R	17	26	20
20	Female	R	18	28	24
21	Male	R	17	23	20
23	Male	R	18	19	12
22	Female	R	17	19	15
20	Male	R	17	18	10
22	Female	R	18	26	22
19	Male	R	18	23	17
19	Female	L	18	10	10
19	Female	R	18	17	12
20	Female	R	18	30	24
25	Female	R	18	30	23
22	Male	R	16	20	14
20	Male	L	18	22	16
20	Male	R	17	13	11
21	Male	R	18	29	20
23	Male	L	18	27	11
23	Male	R	15	17	12
19	Female	R	18	21	19
21	Female	L	18	26	17
20	Male	L	18	25	16
22	Female	R	18	24	20
20	Male	R	18	19	14
22	Female	R	18	26	18
20	Male	R	17	15	13
19	Female	R	18	23	14
22	Female	R	18	30	24
19	Male	R	17	17	11
20	Male	R	16	22	12
20	Female	R	18	24	18
19	Female	R	18	19	16
20	Female	R	18	30	22
25	Male	R	17	25	21
19	Male	R	16	16	10
18	Female	R	16	24	14
21	Female	R	18	23	17
23	Male	R	18	26	20
22	Female	R	17	21	13
18	Male	R	18	25	19
19	Male	R	16	19	6
23	Male	R	18	26	19
22	Male	L	18	28	18
19	Male	R	16	18	12
20	Female	R	17	20	13
21	Female	R	17	25	17
18	Female	R	17	24	17
22	Male	R	18	27	22
21	Female	R	18	22	14
22	Male	R	18	20	14
21	Female	R	17	17	13
20	Male	R	18	15	12
21	Female	R	18	23	17
21	Male	R	17	14	15
21	Female	R	18	27	14
21	Male	R	17	26	22
22	Male	L	16	24	16
19	Female	R	18	20	18
20	Male	R	18	20	10
19	Female	R	18	30	23
22	Male	R	18	18	21
21	Female	R	18	28	18
21	Male	R	18	27	19
18	Male	L	17	17	11
19	Female	R	18	29	23
19	Male	R	18	26	20
21	Male	R	18	21	12
21	Male	R	18	22	19
19	Female	R	18	23	18
21	Female	R	18	21	17
23	Male	R	18	29	22
23	Male	R	17	22	17
21	Female	R	18	22	14
20	Female	R	18	30	23
23	Female	R	18	25	17
20	Male	R	18	28	20
18	Female	R	18	30	21
18	Female	R	18	26	20
21	Male	R	16	18	13
26	Male	R	17	26	22
21	Male	R	15	14	9
20	Female	R	17	27	15
23	Male	R	18	22	19
20	Female	R	18	30	21
21	Male	R	18	30	19
22	Female	R	18	26	15
19	Male	R	17	22	12
19	Male	R	18	25	18
21	Female	R	18	24	20
21	Male	R	17	28	22
22	Female	R	18	27	24
22	Male	R	18	26	18
21	Male	R	18	23	16
18	Female	R	17	23	18
18	Female	R	18	24	16
23	Male	R	16	14	12
19	Male	L	18	17	10
20	Male	R	17	18	13
20	Female	L	18	30	21
23	Male	R	18	29	21
27	Male	R	18	24	20
20	Male	R	17	15	13
21	Female	R	18	29	18
21	Female	R	18	29	23
23	Male	R	18	30	19
21	Male	R	18	25	18
20	Male	R	18	16	24
22	Male	R	14	10	5
23	Female	R	18	28	23
22	Female	R	18	30	24
19	Male	L	18	24	13
20	Female	R	18	24	22
24	Male	R	18	26	20
22	Male	R	18	23	12
20	Female	R	18	24	18
21	Male	L	14	14	11
21	Female	R	18	24	12
22	Female	R	16	24	19
21	Male	R	18	26	23
20	Male	L	18	27	21
19	Male	R	18	13	15
19	Male	R	18	25	16
20	Male	R	18	21	9
19	Male	R	18	18	14
22	Female	R	18	22	13
20	Male	R	18	26	23
23	Male	L	18	21	13
22	Male	R	18	22	17
19	Female	R	18	30	24
25	Female	R	18	25	23
22	Male	R	17	25	16
20	Male	R	18	28	23
20	Male	L	18	24	19
21	Male	R	18	24	15
25	Male	R	18	26	19
19	Male	R	17	15	8
22	Male	R	18	26	20
19	Male	R	18	30	22
23	Female	R	18	30	23
19	Female	R	18	26	18
21	Female	R	18	23	16
19	Female	R	18	29	21
22	Female	L	18	30	24
21	Female	R	18	26	18
21	Female	R	18	22	13
21	Female	R	18	28	17
18	Male	R	16	10	14
21	Male	L	17	18	17
22	Female	R	18	24	15
20	Female	R	18	26	13
22	Male	R	18	17	16
20	Male	R	18	23	14
19	Male	R	17	24	17
20	Female	R	18	30	24
22	Female	R	18	26	14
22	Female	R	18	29	18
21	Male	R	12	15	14
